Country;IQ
Angola;76.50
Argentina;95.20
Armenia;92.00
Australia;97.85
Austria;100.07
Bahamas;81.50
Bahrain;81.00
Bangladesh;77.87
Barbados;92.15
Belarus;97.50
Belgium;99.00
Bermuda;87.03
Bolivia (Plurinational State of);92.62
Bosnia and Herzegovina;89.92
Botswana;82.24
Brazil;81.27
Bulgaria;92.50
Burkino Faso;53.52
Cambodia;88.20
Cameroon;64.00
Canada;99.10
Cayman Islands;74.00
Central African Republic;64.00
Chile;89.81
China;104.61
Colombia;82.54
Democratic Republic of the Congo;71.80
Congo;67.59
Cook Islands;89.00
Costa Rica;92.86
Croatia;97.75
Cuba ;89.75
Czechia;98.00
Cyprus;98.25
Denmark;97.80
Dominica;72.50
Dominican Republic;88.00
Ecuador;82.13
Egypt;78.56
Eritrea;74.46
Estonia;102.67
Ethiopia;67.08
Fiji;85.00
Finland;99.06
France;99.99
Gambia;55.90
Germany;100.17
Ghana;66.32
Greece;93.67
Greenland;93.00
Guatemala;68.54
Guinea;66.50
Haiti;64.00
China. Hong Kong Special Administrative Region;111.38
Hungary;96.60
Iceland;102.89
India;77.48
Indonesia;79.82
Iran (Islamic Republic of);81.84
Iraq;84.45
Ireland;93.18
Israel;93.71
Italy;96.17
C̫te d'Ivoire;71.00
Jamaica;72.13
Japan;104.70
Jordan;80.38
Kazakhstan;96.55
Kenya;69.58
Republic of Korea;105.15
Kuwait;87.97
Kyrgyzstan;89.62
Lao People's Democratic Republic;88.50
Lebanon  ;86.00
Libya;80.91
Lithuania;91.69
Madagascar ;82.00
Malawi ;60.00
Malaysia;87.27
Mali;69.25
Malta;89.67
Mariana Islands;81.00
Marshall Isands;84.00
Mauretania;
Mauritius;88.88
Mexico;89.67
Republic of Moldova;89.00
Mongolia;96.77
Morocco;78.78
Mozambique;64.00
Namibia;61.04
Nepal;71.20
Netherlands;99.63
Sint Maarten (Dutch part);85.09
New Caledonia;85.00
New Zealand;98.02
Nicaragua ;63.50
Nigeria;73.88
Norway ;100.00
Oman  ;81.91
Pakistan;80.72
Palestine ;80.57
Panama;83.00
Papua New Guinea;75.00
Paraguay;90.23
Peru;87.84
Philippines;90.14
Poland;97.85
Portugal;90.90
Puerto Rico;81.92
Qatar ;83.81
Romania;88.39
Russian Federation;96.50
Rwanda;76.00
South Africa;70.98
Saudi Arabia;78.44
Senegal;67.67
Serbia ;90.83
Seychelles;81.70
Sierra Leone;64.00
Singapore;112.91
Slovakia;95.28
Slovenia;97.77
South Sudan;64.31
Spain;94.49
Sri Lanka;83.91
Saint Lucia ;73.50
St.Vincent;71.00
Sudan;78.43
Suriname;89.00
Sweden;100.13
Switzerland;97.02
Syria;75.41
Taiwan;105.46
Tajikistan;86.46
United Republic of Tanzania;75.79
Thailand;85.92
Tonga;86.00
Trinidad and Tobago;87.00
Tunisia ;87.00
Turkey;88.49
Turks & Caicos Is;82.00
Uganda;68.40
Ukraine;93.53
United Arab Emirates;81.09
United Kingdom of Great Britain and Northern Ireland;97.99
United States of America;95.16
Uruguay  ;96.00
Uzbekistan;87.05
Venezuela ;83.87
Vietnam ;88.10
Virgin Islands;77.00
Samoa;88.00
Yemen;79.48
Zambia;77.40
Zimbabwe;70.67
