Country,Amount
Afghanistan,99
Albania,70
Algeria,99
Angola,1
Argentina,1.5
Armenia,2
Australia,1.5
Austria,4.7
Azerbaijan,93.4
Bahrain,85
Bangladesh,88
Belarus,0.5
Belgium,3.5
Belize,1
Benin,20
Bhutan,1
Bolivia (Plurinational State of),0.01
Bosnia and Herzegovina,40
Botswana,1
Brazil,0.02
Brunei Darussalam,67
Bulgaria,12.2
Burkina Faso,55
Myanmar,4
Burundi,10
Cambodia,3.5
Cameroon,20
Canada,2
Central African Republic,15
Chad,54
Chile,0.02
China,3
Colombia,0.2
Comoros,99
Congo,2
Costa Rica,0.1
C̫te d'Ivoire,38.6
Croatia,1.3
Cuba,0.01
Cyprus,18
Czech Republic,0.2
Democratic Republic of the Congo,10
Denmark,3
Djibouti,99
Dominican Republic,0.02
East Timor,4
Ecuador,0.0
Egypt,91
Eritrea,50
Estonia,0.75
Ethiopia,47.5
Fiji,7
Finland,0.2
France,7.5
Gabon,1
Gaza Strip,84
Georgia,9.9
Germany,3.7
Ghana,16
Greece,1.3
Grenada,0.3
Guatemala,0.01
Guinea,85
Guinea-Bissau,38
Guyana,10
Haiti,0.04
Honduras,0.04
Hungary,0.6
Iceland,0.1
India,13.4
Indonesia,88.22
Iran (Islamic Republic of),99
Iraq,97
Ireland,0.49
Israel,14.6
Italy,1.7
Jamaica,0.2
Japan,0.2
Jordan,95
Kazakhstan,47
Kenya,7
Kuwait,85
Kyrgyzstan,80
Laos,1
Latvia,0.02
Lebanon,70
Lesotho,2
Liberia,20
Libya,97
Lithuania,0.6
Luxembourg,2
Madagascar,7
Malawi,20
Malaysia,60.4
Maldives,99.9
Mali,90
Mauritania,99.9
Mauritius,16.6
Mexico,0.3
Republic of Moldova,0.07
Mongolia,4
Morocco,98.7
Mozambique,20
Namibia,3
Nepal,4.2
Netherlands,6
New Zealand,0.17
Niger,90
Nigeria,50
Norway,1.6
Oman,99
Pakistan,96.35
Panama,0.3
Papua New Guinea,0.04
Paraguay,0.01
Peru,0.0
Philippines,5
Poland,0.08
Portugal,0.35
Puerto Rico,0.13
Qatar,95
Romania,0.3
Russian Federation,15
Rwanda,4.6
Saudi Arabia,100
Senegal,94
Serbia,21
Seychelles,1.1
Sierra Leone,60
Singapore,16
Slovakia,0.05
Slovenia,2.5
Somalia,100
South Africa,1.5
South Korea,0.04
Spain,2.5
Sri Lanka,7
Sudan,65
Suriname,22
Swaziland,1
Sweden,4
Switzerland,4.4
Syrian Arab Republic,88
Taiwan,0.7
Tajikistan,95
United Republic of Tanzania,35
Thailand,5
Gambia,90
Togo,13.7
Trinidad and Tobago,6
Tunisia,99
Turkey,99
Turkmenistan,89
Uganda,15
Ukraine,0.5
United Arab Emirates,76
United Kingdom of Great Britain and Northern Ireland,2.7
United States of America,1.4
Uruguay,0.01
Uzbekistan,89
Venezuela (Bolivarian Republic of),0.5
Viet Nam,0.85
West Bank,84
Western Sahara,99.8
Yemen,99
Zambia,1.1
Zimbabwe,1
South Sudan,65
Malta,2.6
