Entity,Code,Year,Transistors per microprocessor (transistors per chip)
World,OWID_WRL,1971,2308
World,OWID_WRL,1972,3555
World,OWID_WRL,1974,6098
World,OWID_WRL,1979,29164
World,OWID_WRL,1982,135773
World,OWID_WRL,1985,273842
World,OWID_WRL,1989,1207901
World,OWID_WRL,1993,3105900
World,OWID_WRL,1995,9646616
World,OWID_WRL,1998,15261378
World,OWID_WRL,1999,21673922
World,OWID_WRL,2000,37180267
World,OWID_WRL,2001,42550655
World,OWID_WRL,2002,55730604
World,OWID_WRL,2003,151247255
World,OWID_WRL,2004,273841963
World,OWID_WRL,2005,305052789
World,OWID_WRL,2006,582941535
World,OWID_WRL,2007,805842188
World,OWID_WRL,2009,2308241527
World,OWID_WRL,2013,5000000000
World,OWID_WRL,2014,5700000000
World,OWID_WRL,2015,10000000000
World,OWID_WRL,2017,19200000000